Status Stroke;Jenis Kelamin;Usia;Total;
"Normal		";Laki-Laki;18-24;1625;
Normal;Perempuan;18-24;1724;
"Normal	";Laki-Laki;25-29;2554;
"Normal	";Perempuan;25-29;2653;
"Normal	";Laki-Laki;30-34;2257;
"Normal	";Perempuan;30-34;2503;
Normal;Laki-Laki;35-39;1979;
"Normal	";Perempuan;35-39;2134;
Normal;Laki-Laki;40-44;1311;
"Normal	";Perempuan;40-44;1561;
"Normal	";Laki-Laki;45-49;626;
"Normal	";Perempuan;45-49;1015;
"Normal	";Laki-Laki;50-54;16;
"Normal	";Perempuan;50-54;136;
"Normal	";Perempuan;55-59;19;
"Risiko Stroke	";Laki-Laki;18-24;11;
"Risiko Stroke	";Perempuan;18-24;4;
"Risiko Stroke	";Laki-Laki;25-29;27;
"Risiko Stroke	";Perempuan;25-29;16;
Risiko Stroke;Laki-Laki;30-34;660;
"Risiko Stroke	";Perempuan;30-34;475;
"Risiko Stroke	";Laki-Laki;35-39;782;
"Risiko Stroke	";Perempuan;35-39;666;
"Risiko Stroke	";Laki-Laki;40-44;1113;
"Risiko Stroke	";Perempuan;40-44;824;
"Risiko Stroke	";Laki-Laki;45-49;1238;
"Risiko Stroke	";Perempuan;45-49;822;
"Risiko Stroke	";Laki-Laki;50-54;1412;
"Risiko Stroke	";Perempuan;50-54;1251;
"Risiko Stroke	";Laki-Laki;55-59;914;
"Risiko Stroke	";Perempuan;55-59;786;
"Risiko Stroke	";Laki-Laki;60-64;517;
"Risiko Stroke	";Perempuan;60-64;487;
"Risiko Stroke	";Laki-Laki;65-69;267;
"Risiko Stroke	";Perempuan;65-69;311;
"Risiko Stroke	";Laki-Laki;70-74;130;
"Risiko Stroke	";Perempuan;70-74;103;
"Risiko Stroke	";Laki-Laki;75-79;30;
"Risiko Stroke	";Perempuan;75-79;29;
Risiko Stroke;Laki-Laki;80+;3;
"Risiko Stroke	";Perempuan;80+;9;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
